"",Type,Total Efficiency,Delta Pressure,Max Air Flow Rate,Rated Electric Power,Rated Power Per Max Air Flow Rate,Motor Heat In Air Fraction,End Use
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 56 FAN,Fan:OnOff,        0.60,0.81,2182.45,1176.57,334.75,        1.00,""
THERMAL ZONE: UNIT_0417_4B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,84.76,33.03,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 72 FAN,Fan:OnOff,        0.60,0.81,1567.97,850.0,334.75,        1.00,""
THERMAL ZONE: UNIT_0501_4B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,84.76,33.03,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 58 FAN,Fan:OnOff,        0.60,0.81,868.74,463.1,334.75,        1.00,""
THERMAL ZONE: UNIT_0502: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 59 FAN,Fan:OnOff,        0.60,0.81,995.87,540.01,334.75,        1.00,""
THERMAL ZONE: UNIT_0503: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 60 FAN,Fan:OnOff,        0.60,0.81,995.87,535.6,334.75,        1.00,""
THERMAL ZONE: UNIT_0504: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 61 FAN,Fan:OnOff,        0.60,0.81,783.99,418.91,334.75,        1.00,""
THERMAL ZONE: UNIT_0505: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 62 FAN,Fan:OnOff,        0.60,0.81,550.91,292.63,334.75,        1.00,""
THERMAL ZONE: UNIT_0506: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 73 FAN,Fan:OnOff,        0.60,0.81,2161.26,1169.85,334.75,        1.00,""
THERMAL ZONE: UNIT_0507_3B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,63.57,24.23,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 63 FAN,Fan:OnOff,        0.60,0.81,805.17,429.01,334.75,        1.00,""
THERMAL ZONE: UNIT_0508: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 74 FAN,Fan:OnOff,        0.60,0.81,1801.05,972.84,334.75,        1.00,""
THERMAL ZONE: UNIT_0509_2B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,63.57,24.23,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 64 FAN,Fan:OnOff,        0.60,0.81,741.61,397.99,334.75,        1.00,""
THERMAL ZONE: UNIT_0510: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 65 FAN,Fan:OnOff,        0.60,0.81,1080.63,587.6,334.75,        1.00,""
THERMAL ZONE: UNIT_0511: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 66 FAN,Fan:OnOff,        0.60,0.81,1101.82,599.07,334.75,        1.00,""
THERMAL ZONE: UNIT_0512: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 67 FAN,Fan:OnOff,        0.60,0.81,1038.25,562.36,334.75,        1.00,""
THERMAL ZONE: UNIT_0513: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 68 FAN,Fan:OnOff,        0.60,0.81,1038.25,563.45,334.75,        1.00,""
THERMAL ZONE: UNIT_0514: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 69 FAN,Fan:OnOff,        0.60,0.81,1123.01,600.71,334.75,        1.00,""
THERMAL ZONE: UNIT_0515: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 70 FAN,Fan:OnOff,        0.60,0.81,1080.63,583.27,334.75,        1.00,""
THERMAL ZONE: UNIT_0516: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 75 FAN,Fan:OnOff,        0.60,0.81,2182.45,1176.23,334.75,        1.00,""
THERMAL ZONE: UNIT_0517_4B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,84.76,33.03,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 90 FAN,Fan:OnOff,        0.60,0.81,317.83,175.08,334.75,        1.00,""
THERMAL ZONE: UNIT_2101_4B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,84.76,33.03,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 76 FAN,Fan:OnOff,        0.60,0.81,127.13,72.85,334.75,        1.00,""
THERMAL ZONE: UNIT_2102: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 77 FAN,Fan:OnOff,        0.60,0.81,169.51,87.83,334.75,        1.00,""
THERMAL ZONE: UNIT_2103: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 78 FAN,Fan:OnOff,        0.60,0.81,169.51,88.2,334.75,        1.00,""
THERMAL ZONE: UNIT_2104: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 79 FAN,Fan:OnOff,        0.60,0.81,148.32,76.6,334.75,        1.00,""
THERMAL ZONE: UNIT_2105: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 80 FAN,Fan:OnOff,        0.60,0.81,84.76,50.33,334.75,        1.00,""
THERMAL ZONE: UNIT_2106: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 91 FAN,Fan:OnOff,        0.60,0.81,317.83,176.03,334.75,        1.00,""
THERMAL ZONE: UNIT_2107_3B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,63.57,24.23,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 81 FAN,Fan:OnOff,        0.60,0.81,169.51,86.29,334.75,        1.00,""
THERMAL ZONE: UNIT_2108: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 92 FAN,Fan:OnOff,        0.60,0.81,275.45,147.34,334.75,        1.00,""
THERMAL ZONE: UNIT_2109_2B: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,63.57,24.23,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 82 FAN,Fan:OnOff,        0.60,0.81,105.94,61.45,334.75,        1.00,""
THERMAL ZONE: UNIT_2110: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 83 FAN,Fan:OnOff,        0.60,0.81,169.51,86.94,334.75,        1.00,""
THERMAL ZONE: UNIT_2111: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 84 FAN,Fan:OnOff,        0.60,0.81,169.51,89.26,334.75,        1.00,""
THERMAL ZONE: UNIT_2112: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 85 FAN,Fan:OnOff,        0.60,0.81,169.51,94.93,334.75,        1.00,""
THERMAL ZONE: UNIT_2113: ZONE EF,Fan:ZoneExhaust,        0.45,0.49,21.19,13.2,273.44,        1.00,""
ZONE HVAC TERMINAL UNIT VARIABLE REFRIGERANT FLOW 86 FAN,Fan:OnOff,        0.60,0.81,169.51,95.1,334.75,        1.00,""
