Zone Names,Space Names,Spacetype Tag,Conditioned,Baseline System,Proposed system,ERV
THERMAL ZONE: UNIT_2105, UNIT_2105, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_2106, UNIT_2106, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_2107_3B, UNIT_2107_3B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_2108, UNIT_2108, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_2109_2B, UNIT_2109_2B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_2110, UNIT_2110, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_2111, UNIT_2111, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_2112, UNIT_2112, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_2113, UNIT_2113, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_2114, UNIT_2114, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_2115, UNIT_2115, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_2116, UNIT_2116, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: UNIT_2117_4B, UNIT_2117_4B, UNIT,Conditioned,PTHP,VRF,
THERMAL ZONE: XFMR_0201, XFMR_0201, XFMR,Conditioned,PTHP,DHP,
THERMAL ZONE: XFMR_0401, XFMR_0401, XFMR,Conditioned,PTHP,DHP,
